Location,To
PIN_W15,pulses_out[0]
PIN_AK2,pulses_out[1]
PIN_Y16,pulses_out[2]
PIN_AK3,pulses_out[3]
PIN_Y27,direction
PIN_AC30,step_size
PIN_AF14,clk
PIN_AA15,speed_sel
PIN_AB28,on
PIN_W17,sev_seg_o[0]
PIN_V18,sev_seg_o[1]
PIN_AG17,sev_seg_o[2]
PIN_AG16,sev_seg_o[3]
PIN_AH17,sev_seg_o[4]
PIN_AG18,sev_seg_o[5]
PIN_AH18,sev_seg_o[6]
PIN_AF16,sev_seg_t[0]
PIN_V16,sev_seg_t[1]
PIN_AE16,sev_seg_t[2]
PIN_AD17,sev_seg_t[3]
PIN_AE18,sev_seg_t[4]
PIN_AE17,sev_seg_t[5]
PIN_V17,sev_seg_t[6]
PIN_AK4,quarter
PIN_AJ4,resetb